ano;genero;Total;g.0-04;g.05-09;g.10-14;g.15-19;g.20-24;g.25-29;g.30-34;g.35-39;g.40-44;g.45-49;g.50-54;g.55-59;g.60-64;g.65-69;g.70-74;g.75-79;g.80-84;g.85+
1971;masculino;4093625;398733;434641;418607;368253;301228;244631;242066;259281;257175;241087;209117;202232;182927;140999;94238;57045;27841;13528
1972;masculino;4078965;391060;430255;430830;383395;314430;247650;227635;248780;252860;234645;209260;192655;180745;141180;95640;55855;27840;14250
1973;masculino;4070480;384940;423420;436870;397490;332870;252330;217950;238375;247470;231625;208705;184850;177635;141350;96870;54510;27695;15525
1974;masculino;4129655;395465;414900;435715;406580;346345;266515;221740;236580;248600;236600;217800;180995;181640;142705;101875;53495;26900;15205
1975;masculino;4314835;423620;413515;434255;402270;349440;289915;242940;250980;263755;253745;238545;193595;193205;154620;110430;58470;28250;13285
1976;masculino;4459550;439980;419065;434735;403165;349910;307690;260660;259335;271510;266480;250720;209740;197115;167105;114790;65495;29780;12275
1977;masculino;4518375;443075;422300;435205;411330;357075;318345;269755;255475;270635;269075;254320;216760;195050;170995;118040;68610;30135;12195
1978;masculino;4579065;440390;426710;434200;418015;365130;325955;279750;255655;270745;272145;258240;226430;192360;175145;121995;72520;30780;12900
1979;masculino;4639940;431015;431600;433230;424705;372925;330445;291385;258200;272860;274110;261910;238010;190560;179270;127045;76715;32240;13715
1980;masculino;4700685;414505;436815;433500;430775;380630;334925;302105;264260;273450;276585;265415;246430;194440;181610;134445;80460;35125;15210
1981;masculino;4746804;398246;439623;434658;435762;392412;339134;311722;271004;269014;276515;267475;250120;201447;181001;140909;83134;38341;16292
1982;masculino;4777069;388981;437025;435577;438032;403577;346571;319401;276494;263507;274238;268150;251850;207440;178582;144566;85983;40650;16450
1983;masculino;4800570;382468;429742;435838;435261;410604;356271;323263;284197;261291;272910;269435;253041;215683;174601;147405;89049;42970;16545
1984;masculino;4820222;374986;421698;435510;431854;417336;364883;326351;293087;260533;272582;269273;253184;224461;171251;149208;92473;44901;16655
1985;masculino;4833955;365229;410069;436480;428718;420295;372644;330627;301344;263405;270073;268981;253902;229436;173148;149056;97051;46217;17285
