"","gdh","nano","value","ano"
"1",39,"n2000",14037,2000
"2",39,"n2001",14991,2001
"3",39,"n2002",14992,2002
"4",39,"n2003",14634,2003
"5",39,"n2004",14222,2004
"6",39,"n2005",13655,2005
"7",39,"n2006",12158,2006
"8",39,"n2007",11326,2007
"9",39,"n2008",8885,2008
"10",39,"n2009",5150,2009
"11",39,"n2010",3681,2010
"12",39,"n2011",3457,2011
"13",39,"n2012",2701,2012
"14",39,"n2013",2170,2013
"15",39,"n2014",1661,2014
"16",39,"n2015",1291,2015
"17",39,"n2016",1316,2016
"18",55,"n2000",3364,2000
"19",55,"n2001",3831,2001
"20",55,"n2002",4222,2002
"21",55,"n2003",5153,2003
"22",55,"n2004",5426,2004
"23",55,"n2005",5710,2005
"24",55,"n2006",5975,2006
"25",55,"n2007",6383,2007
"26",55,"n2008",7170,2008
"27",55,"n2009",7049,2009
"28",55,"n2010",6851,2010
"29",55,"n2011",7480,2011
"30",55,"n2012",7271,2012
"31",55,"n2013",6844,2013
"32",55,"n2014",6676,2014
"33",55,"n2015",6241,2015
"34",55,"n2016",5652,2016
"35",162,"n2000",12364,2000
"36",162,"n2001",13170,2001
"37",162,"n2002",12695,2002
"38",162,"n2003",12870,2003
"39",162,"n2004",13436,2004
"40",162,"n2005",12340,2005
"41",162,"n2006",12774,2006
"42",162,"n2007",12538,2007
"43",162,"n2008",11327,2008
"44",162,"n2009",9745,2009
"45",162,"n2010",8697,2010
"46",162,"n2011",7575,2011
"47",162,"n2012",7175,2012
"48",162,"n2013",6830,2013
"49",162,"n2014",5847,2014
"50",162,"n2015",5456,2015
"51",162,"n2016",5003,2016
"52",167,"n2000",9190,2000
"53",167,"n2001",9414,2001
"54",167,"n2002",9511,2002
"55",167,"n2003",8836,2003
"56",167,"n2004",8425,2004
"57",167,"n2005",8336,2005
"58",167,"n2006",8016,2006
"59",167,"n2007",7473,2007
"60",167,"n2008",7334,2008
"61",167,"n2009",7412,2009
"62",167,"n2010",7005,2010
"63",167,"n2011",6910,2011
"64",167,"n2012",6402,2012
"65",167,"n2013",6454,2013
"66",167,"n2014",6269,2014
"67",167,"n2015",6041,2015
"68",167,"n2016",4945,2016
"69",211,"n2000",5321,2000
"70",211,"n2001",5458,2001
"71",211,"n2002",5147,2002
"72",211,"n2003",5392,2003
"73",211,"n2004",5354,2004
"74",211,"n2005",5516,2005
"75",211,"n2006",5540,2006
"76",211,"n2007",5685,2007
"77",211,"n2008",5953,2008
"78",211,"n2009",6241,2009
"79",211,"n2010",6231,2010
"80",211,"n2011",6809,2011
"81",211,"n2012",6804,2012
"82",211,"n2013",6854,2013
"83",211,"n2014",6836,2014
"84",211,"n2015",6675,2015
"85",211,"n2016",6510,2016
"86",219,"n2000",5666,2000
"87",219,"n2001",5698,2001
"88",219,"n2002",5716,2002
"89",219,"n2003",5889,2003
"90",219,"n2004",5863,2004
"91",219,"n2005",5731,2005
"92",219,"n2006",5984,2006
"93",219,"n2007",5849,2007
"94",219,"n2008",6001,2008
"95",219,"n2009",6186,2009
"96",219,"n2010",6412,2010
"97",219,"n2011",6307,2011
"98",219,"n2012",6278,2012
"99",219,"n2013",6433,2013
"100",219,"n2014",6448,2014
"101",219,"n2015",6085,2015
"102",219,"n2016",5942,2016
"103",359,"n2000",12491,2000
"104",359,"n2001",12760,2001
"105",359,"n2002",13171,2002
"106",359,"n2003",14073,2003
"107",359,"n2004",13985,2004
"108",359,"n2005",13527,2005
"109",359,"n2006",13267,2006
"110",359,"n2007",12936,2007
"111",359,"n2008",12684,2008
"112",359,"n2009",12415,2009
"113",359,"n2010",11610,2010
"114",359,"n2011",12095,2011
"115",359,"n2012",12088,2012
"116",359,"n2013",11671,2013
"117",359,"n2014",10540,2014
"118",359,"n2015",10324,2015
"119",359,"n2016",9365,2016
"120",371,"n2000",22525,2000
"121",371,"n2001",22599,2001
"122",371,"n2002",22470,2002
"123",371,"n2003",22992,2003
"124",371,"n2004",22857,2004
"125",371,"n2005",24107,2005
"126",371,"n2006",23553,2006
"127",371,"n2007",23147,2007
"128",371,"n2008",23264,2008
"129",371,"n2009",21494,2009
"130",371,"n2010",20571,2010
"131",371,"n2011",18758,2011
"132",371,"n2012",16808,2012
"133",371,"n2013",14119,2013
"134",371,"n2014",11736,2014
"135",371,"n2015",11647,2015
"136",371,"n2016",11719,2016
"137",381,"n2000",8972,2000
"138",381,"n2001",7973,2001
"139",381,"n2002",8050,2002
"140",381,"n2003",7489,2003
"141",381,"n2004",7182,2004
"142",381,"n2005",6902,2005
"143",381,"n2006",6488,2006
"144",381,"n2007",5787,2007
"145",381,"n2008",5016,2008
"146",381,"n2009",3944,2009
"147",381,"n2010",3861,2010
"148",381,"n2011",3503,2011
"149",381,"n2012",2911,2012
"150",381,"n2013",2754,2013
"151",381,"n2014",2481,2014
"152",381,"n2015",2238,2015
"153",381,"n2016",1970,2016
"154",494,"n2000",4917,2000
"155",494,"n2001",5531,2001
"156",494,"n2002",5628,2002
"157",494,"n2003",6321,2003
"158",494,"n2004",7450,2004
"159",494,"n2005",7878,2005
"160",494,"n2006",9239,2006
"161",494,"n2007",9981,2007
"162",494,"n2008",10067,2008
"163",494,"n2009",9995,2009
"164",494,"n2010",10418,2010
"165",494,"n2011",9707,2011
"166",494,"n2012",10082,2012
"167",494,"n2013",10401,2013
"168",494,"n2014",9730,2014
"169",494,"n2015",9523,2015
"170",494,"n2016",8888,2016
"171",818,"n2000",6576,2000
"172",818,"n2001",7057,2001
"173",818,"n2002",7046,2002
"174",818,"n2003",7160,2003
"175",818,"n2004",7561,2004
"176",818,"n2005",7333,2005
"177",818,"n2006",7635,2006
"178",818,"n2007",7373,2007
"179",818,"n2008",7906,2008
"180",818,"n2009",7691,2009
"181",818,"n2010",7560,2010
"182",818,"n2011",7763,2011
"183",818,"n2012",8242,2012
"184",818,"n2013",8264,2013
"185",818,"n2014",8116,2014
"186",818,"n2015",8265,2015
"187",818,"n2016",7893,2016
