gdh;n2000;n2001;n2002;n2003;n2004;n2005;n2006;n2007;n2008;n2009;n2010;n2011;n2012;n2013;n2014;n2015;n2016
1;539;612;687;752;768;865;982;963;959;930;938;1015;1003;1086;1161;1154;1078
2;2264;2135;2151;2111;1944;2070;1952;1929;2055;2110;2115;2106;2250;2203;2241;2308;2192
6;4651;5154;5932;6627;6290;5293;5137;4624;3954;2776;2022;1530;1295;1264;1150;1226;904
7;89;118;121;126;103;132;131;152;133;156;174;190;195;223;209;196;175
8;828;916;919;932;998;1036;1128;1246;1162;1184;1148;1163;1108;1094;992;925;765
36;1535;1546;1587;1652;1964;1895;2083;2174;2326;2511;2398;2342;2302;2333;2399;2306;1803
37;359;330;396;368;398;362;370;389;378;331;368;426;386;330;314;304;286
38;195;143;186;146;158;108;105;79;66;59;74;76;53;52;44;48;51
39;14037;14991;14992;14634;14222;13655;12158;11326;8885;5150;3681;3457;2701;2170;1661;1291;1316
40;1806;2023;2272;2693;2193;2040;2283;2252;1996;1396;1388;1027;966;945;999;924;795
41;926;1017;990;954;792;754;750;667;677;459;375;303;265;235;224;225;186
42;2361;2461;2406;2448;2425;2314;2301;2602;2692;2399;2392;2164;1812;1741;1543;1478;1244
49;66;66;47;70;75;70;81;76;75;88;87;71;103;89;99;72;87
50;423;467;465;487;505;528;547;604;599;567;528;630;622;613;647;582;521
51;75;66;99;91;102;76;68;71;74;81;65;52;54;68;57;44;55
52;365;368;463;535;668;637;630;765;865;886;751;791;614;527;452;406;378
53;1259;1433;1491;1762;1723;1989;2163;2303;2533;2465;2538;2726;2684;2610;2473;2365;2128
54;177;178;170;189;211;206;206;233;220;195;220;194;204;173;191;173;166
55;3364;3831;4222;5153;5426;5710;5975;6383;7170;7049;6851;7480;7271;6844;6676;6241;5652
56;976;1065;996;1115;973;1013;852;835;815;730;673;634;533;474;433;430;395
57;477;494;543;600;577;589;633;635;706;717;659;705;817;764;788;796;755
58;331;396;459;589;568;552;577;653;691;630;574;643;622;533;513;481;513
59;535;615;604;837;815;871;857;821;931;918;757;881;846;789;765;702;665
