gdh;preco2009
1;7087,15
2;4563,66
6;1219,45
7;4503,99
8;2269,97
9;2438,42
10;2551,77
11;1496,46
12;1762,68
13;1158,59
14;1874,35
15;1329,92
16;2119,96
17;1333,75
18;2015,25
19;1260,43
20;3613,31
21;1118,09
22;1652,45
23;1269,05
24;1578,65
25;1324,41
34;1753,34
35;1035,90
36;3301,31
37;2419,01
38;936,93
39;1777,54
40;1549,18
41;1294,93
42;1539,59
43;592,35
44;1004,75
45;1153,08
46;1315,54
47;808,97
48;605,29
49;3239,73
50;2061,97
51;1848,23
52;1610,76
53;2306,87
54;2378,04
55;1986,73
56;1803,18
57;1144,21
58;1140,85
59;1189,98
60;1102,99
61;1493,10
62;1250,60
63;2530,44
64;2002,79
65;909,62
66;1003,55
67;1198,60
68;1183,27
69;705,70
70;530,53
71;455,05
72;1057,70
73;904,34
74;733,73
75;5047,22
76;4000,30
77;2524,45
78;2369,89
79;2878,62
80;1892,56
82;2373,49
83;1501,49
84;1024,64
85;2211,98
86;1436,31
87;2021,48
88;1483,28
89;1781,61
90;1165,54
92;2161,90
93;1406,60
94;1796,47
95;1032,78
96;1414,03
97;981,50
99;1409,47
100;974,32
101;1508,44
102;1062,98
103;53329,02
104;20226,03
105;14021,90
106;14843,33
107;13148,22
108;9780,77
109;9772,87
110;10301,24
111;9719,43
112;3736,70
113;5420,32
114;3569,45
115;6596,60
116;4197,68
117;2111,34
118;4005,22
119;1728,18
120;6831,47
121;5953,96
122;3671,53
123;6439,68
124;3166,88
125;2533,56
126;8834,97
127;3135,73
128;1724,58
129;2809,60
130;2985,97
131;1920,59
132;2637,31
133;1266,90
134;528,37
135;1637,36
136;1478,01
137;1372,33
138;2472,93
139;1550,85
140;1879,14
141;2179,39
142;1524,73
143;1055,55
144;2322,45
145;1763,16
146;7385,96
147;6540,80
148;6495,75
149;5350,11
150;4409,10
151;3824,65
152;5051,53
153;4479,07
154;9386,11
155;7412,56
156;2194,49
157;2566,62
158;2043,76
159;3126,63
160;2447,05
161;2618,86
162;1717,15
163;1509,88
164;4011,08
165;3383,03
166;2166,93
167;1750,22
168;2507,68
169;1817,80
170;6334,25
171;3295,80
172;4457,26
173;2318,13
174;2875,98
175;1695,83
176;2190,65
177;1821,63
178;1306,91
179;2274,52
180;2201,91
181;1290,14
182;2364,62
183;1577,69
185;1056,51
186;659,69
187;470,54
188;2162,62
189;1327,76
191;9313,03
192;4613,98
193;7295,62
194;3805,25
195;5240,60
196;4135,69
197;4383,94
198;2737,96
199;4871,82
200;4828,68
201;6249,18
202;3051,86
203;3696,69
204;2123,32
205;3512,42
206;2332,03
207;2368,93
208;1314,34
209;7544,59
210;4558,39
211;3995,27
212;4297,91
213;5420,32
216;3035,33
217;6341,44
218;4381,30
219;3597,25
220;3018,08
221;3537,82
222;2086,18
223;2719,50
224;1827,14
225;2814,64
226;2511,75
227;1759,57
228;1785,93
229;1294,45
230;3175,51
232;1956,54
233;5608,66
234;2121,88
235;2379,72
236;2140,33
237;1739,68
238;4107,65
239;2778,93
240;3257,22
241;1929,22
242;2635,64
243;955,62
244;2456,40
245;1451,17
246;1810,37
247;1235,03
248;607,93
249;2531,64
250;1746,63
251;1411,87
252;946,76
253;2232,83
254;1569,30
255;1322,01
256;1764,84
257;2395,29
258;2373,25
259;2085,22
260;2026,99
261;1683,13
262;1218,97
263;6810,86
264;3147,23
265;4030,73
266;2237,86
267;1112,82
268;2508,87
269;3326,23
270;1455,96
271;3159,22
272;3067,44
273;2441,54
274;4321,88
275;1416,90
276;673,83
277;1796,71
278;1053,63
279;730,62
280;1369,70
281;796,03
282;820,24
283;1276,00
284;715,28
285;5420,32
286;5483,58
287;4599,84
288;3944,96
289;3455,63
290;2513,19
291;1443,26
292;5649,88
293;2928,46
294;2011,65
295;1758,61
296;2262,30
297;1188,06
298;1124,08
299;1743,03
300;2533,32
301;1565,71
302;27934,28
303;4427,31
304;4252,86
305;2427,64
306;3295,80
307;1697,26
308;3127,83
309;1492,14
310;2278,35
311;1364,90
312;2197,12
313;1501,97
314;1684,56
315;3151,31
316;2153,99
317;609,37
318;3303,71
319;1622,26
320;1503,89
321;961,85
322;727,74
323;876,31
324;595,71
325;1170,09
326;745,95
327;533,41
328;1280,08
329;688,44
330;787,89
331;1911,49
332;975,03
333;1352,92
334;3858,68
335;3668,18
336;2010,45
337;1416,18
338;2356,71
339;1665,15
340;1189,74
341;1680,73
342;784,05
343;421,50
344;2283,15
345;2083,54
346;2051,91
347;1160,74
348;1299,01
349;714,80
350;1013,61
351;635,01
352;897,87
353;6094,86
354;3086,13
355;2124,75
356;2793,31
357;4164,68
358;2201,43
359;1704,93
360;1323,21
361;1446,86
362;1052,91
363;1523,54
364;966,41
365;2514,15
366;2673,02
367;1899,27
368;954,43
369;636,92
370;1848,95
371;1395,82
372;1625,14
373;946,04
374;1507,72
375;1078,07
376;812,81
377;1371,37
378;948,20
379;660,17
380;848,99
381;1099,16
382;406,40
383;1269,53
384;732,29
392;4267,00
393;2948,59
394;2318,13
395;1688,88
397;2024,83
398;2049,99
399;1180,63
401;7591,08
402;2111,34
403;5782,39
404;1900,23
406;7028,20
407;3998,38
408;3746,54
409;3804,49
410;2064,64
413;4349,43
414;2005,66
415;4515,01
416;2462,15
417;1467,70
418;1475,85
419;1591,11
420;1072,56
421;1111,38
422;560,00
423;1715,95
424;5418,16
425;1555,41
426;1531,68
427;1471,30
428;2290,82
429;2705,37
430;3503,08
431;1879,38
432;1061,54
439;4600,56
440;4338,89
441;2406,55
442;3855,81
443;2001,83
444;1436,79
445;999,96
446;856,42
447;736,37
448;395,14
449;1238,14
450;824,55
451;653,94
452;1669,95
453;902,19
454;1567,39
455;978,87
461;3535,43
462;2437,94
463;1390,54
464;923,04
465;1230,23
466;1873,87
467;617,03
468;7263,99
471;13946,65
475;13916,46
476;3592,94
477;2717,35
478;6058,20
479;3520,33
480;103103,21
482;8817,24
483;30880,23
491;7178,69
493;3419,69
494;1819,95
530;8809,57
531;8097,89
532;2685,72
533;3127,59
534;4721,09
535;2917,67
536;5711,46
538;10459,87
